original,revised,aligned,id
Thank you a lot for your kind letter .,Thank you for your kind letter .,Thank you {a lot=>} for your kind letter .,fce_dev_7
On that date Alexander M. Sturman formally conveyed to the new town one square mile ( 2.6 sq km ) of land that had been platted the previous autumn .,"On that date , Alexander M. Sturman formally conveyed to the new town one square mile ( 2.6 qs km ) of land that had been planted the previous autumn .","On that date {=>,} Alexander M. Sturman formally conveyed to the new town one square mile ( 2.6 {sq=>qs} km ) of land that had been {platted=>planted} the previous autumn .",wiki_test_808
Madrid is a big city and have many interesting places .,Madrid is a big city and has many interesting places .,Madrid is a big city and {have=>has} many interesting places .,fce_dev_244
It upgraded the building every year .,The building is upgraded every year .,{It=>The building is} upgraded {the building=>} every year .,fce_test_302
I would prefer in tents because I think that is something more exciting and new for me .,I would prefer to stay in tents because I think that is something more exciting and new for me .,I would prefer {=>to stay} in tents because I think that is something more exciting and new for me .,fce_dev_427
They achieved international success from the mid 1920s until the rise of Rock ' n ' roll selling an estimated 250 millions phonograph records .,"They achieved international success from the mid 1920s until the rise of rock ' n ' roll , selling an estimated 250 millions phonograph records .","They achieved international success from the mid 1920s until the rise of {Rock=>rock} ' n ' roll {=>,} selling an estimated 250 millions phonograph records .",wiki_dev_472
"Anita spent four days wandering without food or drink in the woods , until they found a group of people who offered him food .","Anita spent four days wandering without food or drink in the woods , until she found a group of people who offered her food .","Anita spent four days wandering without food or drink in the woods , until {they=>she} found a group of people who offered {him=>her} food .",wiki_dev_664
"Because these two companies operate with different types and levels of power supply , St Moritz is also a "" Current switch "" station .","Because these two companies operate with different types and levels of power supply , St. Moritz is also a "" Current switch "" station .","Because these two companies operate with different types and levels of power supply , {St=>St.} Moritz is also a "" Current switch "" station .",wiki_test_437
The tiny nature of the group meant that the group adopted a position of working in the Labour Party in order to reach an audience and recruit Of particular importance was the Labour league of Youth .,The tiny nature of the group meant that the group adopted a position of working in the Labour Party to reach an audience and recruit . Of particular importance was the Labour League of Youth .,The tiny nature of the group meant that the group adopted a position of working in the Labour Party {in order=>} to reach an audience and recruit {=>.} Of particular importance was the Labour {league=>League} of Youth .,wiki_dev_630
"Journalists should not follow them all the time , trying to make an interview or taking an ' interesting ' picture .","Journalists should not follow them all the time , trying to get an interview or taking an "" interesting "" picture .","Journalists should not follow them all the time , trying to {make=>get} an interview or taking an {'=>""} interesting {'=>""} picture .",fce_dev_416
"I apprieciate this shops for lots of products , cheep prices end big spaces .","I appreciate these shops for having lots of products , cheap prices , and big spaces .","I {apprieciate this=>appreciate these} shops for {=>having} lots of products , {cheep=>cheap} prices {end=>, and} big spaces .",fce_test_645
"It is a famous exhibition , where are showed latest fashions , leisure and sports wear , make up and hairstyles .","It is a famous exhibition , which shows the latest fashions , leisure , sportswear , makeup , and hairstyles .","It is a famous exhibition , {where are showed=>which shows the} latest fashions , leisure {and sports wear=>} , {make up=>sportswear , makeup ,} and hairstyles .",fce_test_120
I suggest a refund of the full price and I hope you are willing to take your responsibilities .,I suggest a refund of the full price and I hope you are willing to take responsibility .,I suggest a refund of the full price and I hope you are willing to take {your responsibilities=>responsibility} .,fce_dev_336
"According to the analysis of Yoav Gelber , based on a counting of the unhabitants , the refugees , the POW 's and the deaths , there is no people missing and therefore no massacre could have occurred .","According to the analysis of Yoav Gelber , based on a counting of the inhabitants , the refugees , the POWs , and the deaths , there are no people missing, and therefore no massacre could have occurred .","According to the analysis of Yoav Gelber , based on a counting of the {unhabitants=>inhabitants} , the refugees , the {POW 's=>POWs ,} and the deaths , there {is=>are} no people {missing=>missing,} and therefore no massacre could have occurred .",wiki_test_545
"He is influenced by Kiss and many other Rock Bandss from the 80s and 70s , as well as modern Metal acts , such as Snot and Mucus .","He is influenced by Kiss and many other rock bands from the 80s and 70s , as well as modern Metal acts , such as Snot and Mucus .","He is influenced by Kiss and many other {Rock Bandss=>rock bands} from the 80s and 70s , as well as modern Metal acts , such as Snot and Mucus .",wiki_dev_780
"Lemon grass is widely used as a herb in Asian ( particularly Thai , Lao , Khmer and Vietnamese ) and Caribbean cooking .","Lemongrass is a widely used herb in Asian ( particularly Thai , Lao , Khmer and Vietnamese ) and Caribbean cooking .","{Lemon grass=>Lemongrass} is {=>a} widely used {as a=>} herb in Asian ( particularly Thai , Lao , Khmer and Vietnamese ) and Caribbean cooking .",wiki_dev_572
Her family was very rich and a lot of men wanted to marry to her .,"Her family was very rich , and a lot of men wanted to marry her .","Her family was very rich {=>,} and a lot of men wanted to marry {to=>} her .",fce_test_811
"An interesting story - demanding in a way - which can give you an impression of Hemingway 's work and what he meant by "" pace under pressure "" .","It 's an interesting story - demanding in a way - which can give you an impression of Hemingway 's work and what he meant by "" grace under pressure . ""","{An=>It 's an} interesting story - demanding in a way - which can give you an impression of Hemingway 's work and what he meant by "" {pace=>grace} under pressure {=>.} "" {.=>}",fce_dev_91
"I 'm a very out door person , who like to go camping and hiking , so staying in a tents is like a second home to me .","I 'm a very outdoorsy person , who likes to go camping and hiking , so staying in a tent is like a second home to me .","I 'm a very {out door=>outdoorsy} person , who {like=>likes} to go camping and hiking , so staying in a {tents=>tent} is like a second home to me .",fce_dev_345
"Moreover , students are allowed to admit for free .","Moreover , students are allowed free admission .","Moreover , students are allowed {to admit for=>} free {=>admission} .",fce_test_308
"I think , that is a good question to think about .",I think that is a good question to think about .,"I think {,=>} that is a good question to think about .",fce_dev_639
The award was endowed from the German Community College association .,The award was endowed by the German Community College Association .,The award was endowed {from=>by} the German Community College {association=>Association} .,wiki_test_152
"When I received your letter with photographs of that flat , it really looked nice .","When I received your letter with photographs of the flat , it really looked nice .","When I received your letter with photographs of {that=>the} flat , it really looked nice .",fce_test_300
It 's good chance for you to improve your English .,It 's a good chance for you to improve your English .,It 's {=>a} good chance for you to improve your English .,fce_test_428
"One of the first Christian monasteries was established at Pbow , 127 km .",One of the first Christian monasteries was established at Pbow . 127 km .,"One of the first Christian monasteries was established at Pbow {,=>.} 127 km .",wiki_dev_562
Borders do n't matter to reaver clans !,Borders do n't matter to Reiver clans !,Borders do n't matter to {reaver=>Reiver} clans !,wiki_test_561
"Dalida was buried in the Montmartre Cemetery , Paris , and a life-size statue of her was erected outside her tomb .","Dalida was buried in the Montmartre Cemetery , Paris . A life-size statue of her was erected outside her tomb .","Dalida was buried in the Montmartre Cemetery , Paris {, and a=>. A} life-size statue of her was erected outside her tomb .",wiki_test_493
And what about mobile telephones ?,And what about mobile phones ?,And what about mobile {telephones=>phones} ?,fce_dev_552
"Anonymous ( 1852 ) , the primary source of information about this object , provides neither any picture of nor age estimate for the Dorchester Pot .","Anonymous ( 1852 ) , the primary source of information about this object , provides neither any picture of , nor age estimate for the Dorchester Pot .","Anonymous ( 1852 ) , the primary source of information about this object , provides neither any picture of {=>,} nor age estimate for the Dorchester Pot .",wiki_dev_583
"Covering an area of more than 2104 acres , the resort with its lush green parks , sinuous lakes , an 18 hole regulation Golf course and other features .","Covering an area of more than 2,104 acres , the resort with its lush green parks , sinuous lakes , an 18 hole regulation golf course , and other features .","Covering an area of more than {2104=>2,104} acres , the resort with its lush green parks , sinuous lakes , an 18 hole regulation {Golf=>golf} course {=>,} and other features .",wiki_test_115
"Early that day I went to buy the tickets and I decided to buy the expensive ones , like the promotion paper said they made discounts to people that worked at the British Institute .","Early that day , I went to buy the tickets , and I decided to buy the expensive ones , as the flyer said they gave discounts to people that worked at the British Institute .","Early that day {=>,} I went to buy the tickets {=>,} and I decided to buy the expensive ones , {like=>as} the {promotion paper=>flyer} said they {made=>gave} discounts to people that worked at the British Institute .",fce_dev_454
"I was n't sure of what to do , and the pressure of everyone watching me , was driving me mad .","I was n't sure what to do , and the pressure of everyone watching me was driving me mad .","I was n't sure {of=>} what to do , and the pressure of everyone watching me {,=>} was driving me mad .",fce_dev_797
"Delivery of the first two locomotives to Newport in Wales is expected in November 2009 , with the next four following in December 2009 .","The delivery of the first two locomotives to Newport in Wales is expected in November 2009 , with the next four following in December 2009 .","{Delivery=>The delivery} of the first two locomotives to Newport in Wales is expected in November 2009 , with the next four following in December 2009 .",wiki_test_929
"In 2008 he will star in "" zach and miri make a porno "" .","In 2008 , he will star in "" Zach and Miri Make a Porno .""","In 2008 {=>,} he will star in "" {zach=>Zach} and {miri make=>Miri Make} a {porno "" .=>Porno .""}",wiki_test_455
I am writing this letter in reply to your letter which arrived yesterday .,"I am writing this letter in reply to your letter , which arrived yesterday .","I am writing this letter in reply to your letter {=>,} which arrived yesterday .",fce_test_388
"Steffen Iversen ( born November 10 , 1976 in Oslo ) is a Norwegian soccer player .","Steffen Iversen ( born November 10 , 1976, in Oslo ) is a Norwegian soccer player .","Steffen Iversen ( born November 10 , {1976=>1976,} in Oslo ) is a Norwegian soccer player .",wiki_dev_343
"George Harrison remarked , "" Ravi Shanker is the godfather of World Music and Lord Buckley made me laugh ..","George Harrison remarked , "" Ravi Shanker is the godfather of World Music and Lord Buckley made me laugh .""","George Harrison remarked , "" Ravi Shanker is the godfather of World Music and Lord Buckley made me laugh {..=>.""}",wiki_dev_171
"In reality , Bernd was "" born "" on napkin , on which his creator Tommy Krappweis sketched his first ideas for a new KI.KA mascot .","In reality , Bernd was "" born "" on a napkin on which his creator, Tommy Krappweis, sketched his first ideas for a new KI . KA mascot .","In reality , Bernd was "" born "" on {=>a} napkin {,=>} on which his {creator=>creator,} Tommy {Krappweis=>Krappweis,} sketched his first ideas for a new {KI.KA=>KI . KA} mascot .",wiki_test_625
They had invited us and we wanted them to see us stunningly beautiful .,"They had invited us , and we wanted them to see us stunningly beautiful .","They had invited us {=>,} and we wanted them to see us stunningly beautiful .",fce_dev_428
Your feet will turn into pancakes after a long day out in the streets and your muscles can get seriously injured after carrying all those bags which contain loads of objects .,"Your feet will turn into pancakes after a long day out in the streets , and your muscles can get seriously injured after carrying all those bags which contain loads of objects .","Your feet will turn into pancakes after a long day out in the streets {=>,} and your muscles can get seriously injured after carrying all those bags which contain loads of objects .",fce_dev_756
"This mean the engineering will find the way to useless petrol for it , so it must useful in the future .","I think if we wear this clothes we will travel to every where easier than we use cars , ships , planes and space ships .","{This mean the engineering=>I think if we wear this clothes we} will {find the way=>travel} to {useless petrol for it=>every where easier than we use cars} , {so it must useful in the future=>ships , planes and space ships} .",fce_dev_185
The band just completed a world wide tour with Canadian band Simple Plan and has performed across the US as a main stage headliner on the Vans Warped Tour .,The band just completed a worldwide tour with Canadian band Simple Plan and has performed across the U.S. as a main stage headliner on the Vans Warped Tour .,The band just completed a {world wide=>worldwide} tour with Canadian band Simple Plan and has performed across the {US=>U.S.} as a main stage headliner on the Vans Warped Tour .,wiki_test_491
I was just walking down by dressing room manager said that if I could help them .,"I was just walking down by the dressing room , and the manager asked if I could help them .","I was just walking down by {=>the} dressing room {=>, and the} manager {said that=>asked} if I could help them .",fce_test_61
making a tackle on one sie of the field and the following the ball to complete a tackle on the other .,making a tackle on one side of the field and following the ball to complete a tackle on the other .,making a tackle on one {sie=>side} of the field and {the=>} following the ball to complete a tackle on the other .,wiki_test_27
""" Louis Post at the Department of Labor , which had ultimately authority over deportation decisions , determined that the revocation of her husband 's American citizenship in 1908 had revoked hers as well .","Louis Post at the Department of Labor , which had ultimately authority over deportation decisions , determined that the revocation of her husband 's American citizenship in 1908 had revoked hers as well .","{""=>} Louis Post at the Department of Labor , which had ultimately authority over deportation decisions , determined that the revocation of her husband 's American citizenship in 1908 had revoked hers as well .",wiki_dev_127
"Of course , this was great plublicity for Edison who would often pose with the performers for newspaper articles .","Of course , this was great publicity for Edison , who would often pose with the performers for newspaper articles .","Of course , this was great {plublicity=>publicity} for Edison {=>,} who would often pose with the performers for newspaper articles .",wiki_dev_659
"Afterward , the Bottle Ship 's self-destruct sequence is remotely activated and Samus clutches the helmet as she escapes from the Bottle Ship in her Zero Suit , before it is utterly destroyed .","Afterward , the Bottle Ship 's self-destruct sequence is remotely activated , and Samus clutches the helmet as she escapes from the Bottle Ship in her Zero Suit before it is utterly destroyed .","Afterward , the Bottle Ship 's self-destruct sequence is remotely activated {=>,} and Samus clutches the helmet as she escapes from the Bottle Ship in her Zero Suit {,=>} before it is utterly destroyed .",wiki_dev_476
Also Craig David Donlevy has a large house with a huge pool there .,"Also , Craig David Donlevy has a large house with a huge pool there .","Also {=>,} Craig David Donlevy has a large house with a huge pool there .",wiki_test_454
I am keen on technology because I believe it should improve our lives however I dislike the idea that such a science might fall or had already fallen in wicked hands .,"I am keen on technology because I believe it should improve our lives ; however I dislike the idea that such science might fall , or has already fallen , into wicked hands .","I am keen on technology because I believe it should improve our lives {=>;} however I dislike the idea that such {a=>} science might fall {=>,} or {had=>has} already fallen {in=>, into} wicked hands .",fce_dev_270
"Imagine that all the people have masks on their mouthes and noses like we have sun-glasses , and that all the masks are designers brands , which are made of special material to prevent us from breathing in polluted air .","Imagine that people have masks on their mouths and noses like we have sunglasses , and that all the masks are designers brands , which are made of special materials to prevent us from breathing in polluted air .","Imagine that {all the=>} people have masks on their {mouthes=>mouths} and noses like we have {sun-glasses=>sunglasses} , and that all the masks are designers brands , which are made of special {material=>materials} to prevent us from breathing in polluted air .",fce_dev_188
"If not , you can go the Saturdays but badly , there are too costumers . You ca n't walk , try clothes , it 's very hot .","If not , you can go on Saturdays , but sadly , there are too many customers . You ca n't walk , or try on clothes , and it 's very hot .","If not , you can go {the=>on} Saturdays {=>,} but {badly=>sadly} , there are too {costumers=>many customers} . You ca n't walk , {=>or} try {=>on} clothes , {=>and} it 's very hot .",fce_test_547
Can you think you contact with anyone who is from any country whenever you want ?,Can you believe you can come in contact with anyone who is from any country whenever you want ?,Can you {think=>believe} you {=>can come in} contact with anyone who is from any country whenever you want ?,fce_test_206
"I am writting to tell you about my experience in the last month pop concert , where I was helping my friend Nick who was the bouncer of the place .","I am writing to tell you about my experience at last month 's pop concert , where I was helping my friend Nick , who was the bouncer of the place .","I am {writting=>writing} to tell you about my experience {in the=>at} last month {=>'s} pop concert , where I was helping my friend Nick {=>,} who was the bouncer of the place .",fce_test_516
All I ought to do is buy and choose .,All I have to do is buy and choose .,All I {ought=>have} to do is buy and choose .,fce_test_255
Firstly I will be able to travel just in july because my class starts the month after this .,"Firstly , I will only be able to travel in July because my classes start the month after .","Firstly {=>,} I will {=>only} be able to travel {just=>} in {july=>July} because my {class starts=>classes start} the month after {this=>} .",fce_dev_198
"Well , I would be only available in July , because at that time I would be in winter holidays .","Well , I would only be available in July , because at that time I would be on winter vacation .","Well , I would {=>only} be {only=>} available in July , because at that time I would be {in=>on} winter {holidays=>vacation} .",fce_test_21
"I really liked your idea of visiting your theatre restaurant , but because of the late start of the show , the restaurant was closed by the end of the show .","I really liked your idea of visiting your theater restaurant , but because of the late start of the show , the restaurant was closed by the end of the show .","I really liked your idea of visiting your {theatre=>theater} restaurant , but because of the late start of the show , the restaurant was closed by the end of the show .",fce_dev_279
"He was , subsequently , promoted to the senior squad on a permanant basis and assigned the number 23 shirt .","He was , subsequently , promoted to the senior squad on a permanent basis and assigned the number 23 shirt .","He was , subsequently , promoted to the senior squad on a {permanant=>permanent} basis and assigned the number 23 shirt .",wiki_test_382
"Although it is not very comfortable , I like camping very much .","Although it is not very comfortable , I really like camping .","Although it is not very comfortable , I {=>really} like camping {very much=>} .",fce_dev_350
"As ruler , he was known for the introduction of Legalism and also for unifying China as well as being the first eperor to rule all of China .","As ruler , he was known for introducing legalism and unifying China as well as being the first emperor to rule all of China .","As ruler , he was known for {the introduction of Legalism=>introducing legalism} and {also for=>} unifying China as well as being the first {eperor=>emperor} to rule all of China .",wiki_test_310
MY ADRESS IS IN THE ENVELOPE .,MY ADDRESS IS IN THE ENVELOPE .,MY {ADRESS=>ADDRESS} IS IN THE ENVELOPE .,fce_dev_790
It is a revolution in the fashion that is starting now .,It is a fashion revolution that is starting now .,It is a {=>fashion} revolution {in the fashion=>} that is starting now .,fce_dev_738
People at the backstage including me were helping to clean up all the stuff and ready for the end of the concert .,"The people backstage , including me , were helping to clean up all the stuff and getting ready for the end of the concert .","{People at the=>The people} backstage {=>,} including me {=>,} were helping to clean up all the stuff and {=>getting} ready for the end of the concert .",fce_test_396
He is not returning to write a script for the second series due to other work commitments .,He is not returning to write the script for the second series due to other work commitments .,He is not returning to write {a=>the} script for the second series due to other work commitments .,wiki_dev_258
"Although Joey disapproves of this state of affairs , he is forced to accept it when his mother reminds him how much happier his father is now that he has a "" hobby "" , and that their marriage is much better due to Joseph Sr 's shame about the affair and how he is that much more attentive .","Although Joey disapproves of this state of affairs , he is forced to accept it when his mother reminds him how much happier his father is now that he has a "" hobby ,"" and that their marriage is much better due to Joseph Sr 's shame about the affair and how he is that much more attentive .","Although Joey disapproves of this state of affairs , he is forced to accept it when his mother reminds him how much happier his father is now that he has a "" hobby {"" ,=>,""} and that their marriage is much better due to Joseph Sr 's shame about the affair and how he is that much more attentive .",wiki_dev_594
The story of T-Force and Fleming 's connection to its work remained unknown until revealed in Sean Longdens book on the subject .,The story of T-Force and Fleming 's connection to its work remained unknown until it was revealed in Sean Longden's book on the subject .,The story of T-Force and Fleming 's connection to its work remained unknown until {=>it was} revealed in Sean {Longdens=>Longden's} book on the subject .,wiki_dev_126
Actually I 've just done light and sound in drama 's day in my school at the end of last term .,"Actually , I 've just done light and sound for drama day at my school at the end of last term .","Actually {=>,} I 've just done light and sound {in=>for} drama {'s=>} day {in=>at} my school at the end of last term .",fce_test_51
"An ångström or aangstroem ( the official transliteration ) , or angstrom ( symbol Å ) is a non-SI unit of length that is internationally recognized , equal to 0.1 nm .","An ångström , angstrom ( the official transliteration ) , or angstrom ( symbol Å ) is a non-SI unit of length that is internationally recognized , equal to 0.1 nm .","An ångström {or aangstroem=>, angstrom} ( the official transliteration ) , or angstrom ( symbol Å ) is a non-SI unit of length that is internationally recognized , equal to 0.1 nm .",wiki_test_868
The Goa Inquisition was the office of the Inquisition acting in the Indian city of Goa and the rest of the Portuguese empire in Asia .,"The Goa Inquisition was the office of the Inquisition acting in the Indian city of Goa , and the rest of the Portuguese empire in Asia .","The Goa Inquisition was the office of the Inquisition acting in the Indian city of Goa {=>,} and the rest of the Portuguese empire in Asia .",wiki_test_909
"Many reporters and analysts believe Investment Banks purposely leave ambigious the amount of non propietary trading they do versus the amount of propietary trading they do because it is felt that propietary trading is risker and results in less steady profits , resulting in a lower stock price relative to profits .",Many reporters and analysts believe investment banks purposely leave the amount of non-proprietary versus proprietary trading they do ambiguous because it is felt that proprietary trading is riskier and results in less steady profits and a lower stock price relative to profits .,"Many reporters and analysts believe {Investment Banks=>investment banks} purposely leave {ambigious=>} the amount of {non propietary=>non-proprietary versus proprietary} trading they do {versus the amount of propietary trading they do=>ambiguous} because it is felt that {propietary=>proprietary} trading is {risker=>riskier} and results in less steady profits {, resulting in=>and} a lower stock price relative to profits .",wiki_dev_91
She is also a feminist Hard science fiction writer .,She is also a feminist hard science fiction writer .,She is also a feminist {Hard=>hard} science fiction writer .,wiki_dev_806
You can enjoy you time to watch a film if you have free time .,You watch a film if you have free time .,You {can enjoy you time to=>} watch a film if you have free time .,fce_dev_391
"Talking of my work , I had to mostly make the concert stage with some fellows .","Speaking of my work , I had to mostly make the concert stage with some fellows .","{Talking=>Speaking} of my work , I had to mostly make the concert stage with some fellows .",fce_test_136
This interactive way of communication allows me to reach everybody everywhere without restrictions .,"This interactive way of communicating allows me to reach anybody , anywhere , without restrictions .","This interactive way of {communication=>communicating} allows me to reach {everybody everywhere=>anybody , anywhere ,} without restrictions .",fce_dev_698
"I 've being very thrilled , when I 've known , that I won first prize in your competition .","I 've been very thrilled , knowing that I won first prize in your competition .","I 've {being=>been} very thrilled , {when I 've known ,=>knowing} that I won first prize in your competition .",fce_dev_749
Townsend envisioned developing Potrero Hill as a community for arrivals and their new found riches .,Townsend envisioned developing Potrero Hill as a community for new arrivals and their newfound riches .,Townsend envisioned developing Potrero Hill as a community for {=>new} arrivals and their {new found=>newfound} riches .,wiki_test_679
"Following his mission to Sumatra , he was sent to Patani , on the eastern shore of the Malay peninsula .","Following his mission to Sumatra , he was sent to Pattani , on the eastern shore of the Malay Peninsula .","Following his mission to Sumatra , he was sent to {Patani=>Pattani} , on the eastern shore of the Malay {peninsula=>Peninsula} .",wiki_test_781
"The new plane fulfiled requirements and , after tests , was accepted for the Polish Air Force as the TS-11 Iskra bis A , produced since 1963 .","The new plane fulfilled requirements and , after tests , was accepted for the Polish Air Force as the TS-11 Iskra bis A , produced since 1963 .","The new plane {fulfiled=>fulfilled} requirements and , after tests , was accepted for the Polish Air Force as the TS-11 Iskra bis A , produced since 1963 .",wiki_test_887
"Secondly , despite of your advertisement of the possibility of discounts , when I showed my student identity card to one of your employes she angrily told me that I had to pay the whole prize .","Secondly , despite your advertisement of possible discounts , when I showed my student identification card to one of your employees , she angrily told me that I had to pay full price .","Secondly , despite {of=>} your advertisement of {the possibility of=>possible} discounts , when I showed my student {identity=>identification} card to one of your {employes=>employees ,} she angrily told me that I had to pay {the whole prize=>full price} .",fce_dev_372
"Last month I helped at a pop concert , it was marvellous .","Last month I helped at a pop concert , it was marvelous .","Last month I helped at a pop concert , it was {marvellous=>marvelous} .",fce_test_681
"The Operation was seen as a futile attempt to capture a non-strategic piece of land further antagonizing relations with neighbooring Pakistan though many nationalistic Indians refer to it as a "" daring "" success by the Indian Military at the time and ensured that the Indian military held its tactical high ground on the Saltoro Ridge just west of the glacier , albeit at a high cost .","The Operation was seen as a futile attempt to capture a non-strategic piece of land further antagonizing relations with neighboring Pakistan ; however, many nationalistic Indians refer to it as a "" daring "" success by the Indian military at the time and ensured that the Indian military held its tactical high ground on the Saltoro Ridge just west of the glacier , albeit at a high cost .","The Operation was seen as a futile attempt to capture a non-strategic piece of land further antagonizing relations with {neighbooring=>neighboring} Pakistan {though=>; however,} many nationalistic Indians refer to it as a "" daring "" success by the Indian {Military=>military} at the time and ensured that the Indian military held its tactical high ground on the Saltoro Ridge just west of the glacier , albeit at a high cost .",wiki_test_220
"A NASA design study produced a 10,000 ton mining vehicle to be assembled in orbit that would return a 500,000 ton asteroid ' fragment ' to geostationary orbit .","A NASA design study produced a 10,000-ton mining vehicle to be assembled in orbit that would return a 500,000-ton asteroid "" fragment "" to geostationary orbit .","A NASA design study produced a {10,000 ton=>10,000-ton} mining vehicle to be assembled in orbit that would return a {500,000 ton=>500,000-ton} asteroid {'=>""} fragment {'=>""} to geostationary orbit .",wiki_dev_418
"On his neck , Jacoby has the chinese symbol for love , which he spoke about in an episode of MTV Cribs .","On his neck , Jacoby has the Chinese symbol for love , which he spoke about in an episode of MTV Cribs .","On his neck , Jacoby has the {chinese=>Chinese} symbol for love , which he spoke about in an episode of MTV Cribs .",wiki_dev_66
One day Ivan caught a fish .,"One day , Ivan caught a fish .","One day {=>,} Ivan caught a fish .",fce_dev_584
I was able to have some signatures of them .,I was able to get some of their autographs .,I was able to {have=>get} some {signatures=>} of {them=>their autographs} .,fce_dev_406
The rate of re-absorption of water to form the hydrous composition is negligable below 930 ° C .,The rate of re-absorption of water to form the hydrous composition is negligible below 930 ° C .,The rate of re-absorption of water to form the hydrous composition is {negligable=>negligible} below 930 ° C .,wiki_test_752
"After a break , the bank have to carried on the concert for another one hour and a half .","After a break , the bench had to be carried to the concert for another hour and a half .","After a break , the {bank have=>bench had} to {=>be} carried {on=>to} the concert for another {one=>} hour and a half .",fce_dev_779
This led to a series of tag teasm matches that brought Bruno out of retirement in an effort to get David 's career advanced .,This led to a series of tag-team matches that brought Bruno out of retirement in an effort to get David 's career advanced .,This led to a series of {tag teasm=>tag-team} matches that brought Bruno out of retirement in an effort to get David 's career advanced .,wiki_dev_223
previous Popes had avoided using this name since the time of the Antipope John XXIII during the Western Schism .,Previous popes had avoided using this name since the time of the Antipope John XXIII during the Western Schism .,{previous Popes=>Previous popes} had avoided using this name since the time of the Antipope John XXIII during the Western Schism .,wiki_dev_209
"For example , nobody said anything when we smoked in the garden or in the bathroom .","For example , no one said anything when we smoked in the garden or in the bathroom .","For example , {nobody=>no one} said anything when we smoked in the garden or in the bathroom .",fce_dev_258
"The CIA World Factbook gives the folowing statististics for the population : "" mestizo ( mixed Amerindian and white ) 70 % , Amerindian and mixed ( West Indian ) 14 % , white 10 % , Amerindian 6 % "" .","The "" CIA World Factbook "" gives the following statistics for the population : "" mestizo ( mixed Amerindian and white ) 70 % , Amerindian and mixed ( West Indian ) 14 % , white 10 % , Amerindian 6 % .""","The {=>""} CIA World Factbook {=>""} gives the {folowing statististics=>following statistics} for the population : "" mestizo ( mixed Amerindian and white ) 70 % , Amerindian and mixed ( West Indian ) 14 % , white 10 % , Amerindian 6 % {"" .=>.""}",wiki_test_207
"Although the jazz , rock and classical music was great , some concerts and halls are too small , could you consider making them bigger next year .","Although the jazz , rock , and classical music were great , some concerts and halls were too small . Could you consider making them bigger next year ?","Although the jazz , rock {=>,} and classical music {was=>were} great , some concerts and halls {are=>were} too small {, could=>. Could} you consider making them bigger next year {.=>?}",fce_test_748
"The concept of TMB is a 19-year-old journalism student ( in 1997 ) She states that she does not like children or ever intend to have any , opines that society places an irrational emphasis on children and parenthood , criticizes Megan ' s Law for de-emphasizing parental responsibility .",The concept of TMB came from a 19-year-old journalism student ( in 1997 ) . She states that she does not like children and never intends to have any ; opines that society places an irrational emphasis on children and parenthood ; and criticizes Megan ' s Law for de-emphasizing parental responsibility .,"The concept of TMB {is=>came from} a 19-year-old journalism student ( in 1997 ) {=>.} She states that she does not like children {or ever intend=>and never intends} to have any {,=>;} opines that society places an irrational emphasis on children and parenthood {,=>; and} criticizes Megan ' s Law for de-emphasizing parental responsibility .",wiki_dev_682
"I mean , all that flashing lights , the changing colours of them , I believe they helped much .","I mean , all those flashing lights with changing colors , I believe they helped a lot .","I mean , all {that=>those} flashing lights {, the=>with} changing {colours of them=>colors} , I believe they helped {much=>a lot} .",fce_test_159
"Modern scientific studies have shown that walking , besides its physical benefits , is also beneficial for the mind - improving memory skills , learning ability , concentration and abstract reasoning , besides reducing stress and uplifting ones ' spirits .","Modern scientific studies have shown that walking , besides its physical benefits , is also beneficial for the mind - improving memory skills , learning ability , concentration , and abstract reasoning . It also reduces stress and uplifts one's spirits .","Modern scientific studies have shown that walking , besides its physical benefits , is also beneficial for the mind - improving memory skills , learning ability , concentration {=>,} and abstract reasoning {, besides reducing=>. It also reduces} stress and {uplifting ones '=>uplifts one's} spirits .",wiki_dev_83
"Nowadays , however , the whole world is connected by a telephone system and no one could imagine life without it .","Nowadays , however , the whole world is connected by a telephone system , and no one could imagine life without it .","Nowadays , however , the whole world is connected by a telephone system {=>,} and no one could imagine life without it .",fce_dev_415
"Finally , it was a very nice day with great experience .","Finally , it was a very nice day and great experience .","Finally , it was a very nice day {with=>and} great experience .",fce_test_654
"It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the hole house is warm due to central heating .","It starts early in the morning , as we wake up to the sound of an alarm clock . In the bathroom , we have hot water running and also the whole house is warm due to central heating .","It starts {already=>early} in the morning {that=>, as} we wake up {by=>to} the sound of an alarm clock {, than in=>. In} the bathroom {=>,} we have {running=>} hot water {=>running} and also the {hole=>whole} house is warm due to central heating .",fce_test_725
I was pleasantly surprised that I have won the first prize in your competition .,I was pleasantly surprised that I won the first prize in your competition .,I was pleasantly surprised that I {have=>} won the first prize in your competition .,fce_dev_582
can we add to the subsitiutions section ?,Can we add to the substitutions section ?,{can=>Can} we add to the {subsitiutions=>substitutions} section ?,wiki_dev_218
"Lilian Laslandes ( born September 4 , 1971 in Bordeaux ) is a French football striker , who currently plays at OGC Nice .","Lilian Laslandes ( born September 4 , 1971 in Bordeaux ) is a French football striker who currently plays at OGC Nice .","Lilian Laslandes ( born September 4 , 1971 in Bordeaux ) is a French football striker {,=>} who currently plays at OGC Nice .",wiki_dev_663
